Country/Territory,Conversions,Clicks,Impressions,Cost
Denmark,1.00,1,435,$1.96
Uganda,0.00,1,392,$1.92
Mozambique,0.00,6,276,$6.48
Canada,0.00,3,670,$4.65
France,0.00,14,"2,891",$18.77
Cote d'Ivoire,0.00,0,80,$0.00
Spain,0.00,16,"3,943",$21.11
United States,0.00,13,"1,942",$19.09
Benin,0.00,0,39,$0.00
Sweden,0.00,7,486,$9.99
Portugal,0.00,22,"3,249",$27.79
Ethiopia,3.00,66,"2,888",$80.74
Malawi,0.00,3,72,$3.10
United Kingdom,0.00,10,"2,183",$14.50
Tanzania,0.00,13,621,$17.82
Burkina Faso,0.00,0,7,$0.00
Switzerland,0.00,1,153,$1.26
Ireland,0.00,1,211,$1.89
Italy,2.00,43,"4,076",$54.96
South Africa,0.00,11,"2,474",$16.40
Democratic Republic of the Congo,0.00,0,33,$0.00
Hong Kong,0.00,1,360,$1.20
Brazil,5.00,370,"44,077",$411.85
Ghana,0.00,8,802,$10.35
Germany,1.00,28,"4,680",$41.17
Rwanda,0.00,4,137,$4.47
Belgium,0.00,0,18,$0.00
Japan,0.00,2,430,$3.08
Togo,0.00,0,18,$0.00
Burundi,0.00,0,13,$0.00
Kenya,0.00,3,802,$5.29
Netherlands,2.00,5,"1,047",$6.05
India,39.00,"1,128","87,135","$1,390.86"
Mexico,1.00,49,"5,427",$67.11
Zambia,0.00,0,209,$0.00
